PC,variance_explained,std
294,0.0006731681,7.8233e-07
295,0.0006716438,1.2249409e-06
296,0.0006694098,1.507844e-06
297,0.00066806754,1.2839834e-06
298,0.00066631864,1.4604825e-06
299,0.0006643949,1.5367563e-06
300,0.0006632374,1.5272188e-06
301,0.00066091155,1.1615502e-06
302,0.0006597062,1.2806977e-06
303,0.00065796543,1.738835e-06
304,0.0006561888,1.4888197e-06
305,0.00065454096,1.022988e-06
306,0.00065259886,1.4130162e-06
307,0.0006513452,1.7424818e-06
308,0.00064999127,1.5596393e-06
309,0.00064835825,1.6116401e-06
310,0.00064651086,1.5151978e-06
311,0.0006450733,1.31663e-06
312,0.0006434513,1.5761128e-06
313,0.0006416385,1.2517713e-06
314,0.00063964067,1.997379e-06
315,0.0006383837,1.8105534e-06
316,0.0006371637,1.3855926e-06
317,0.000635838,1.5004605e-06
318,0.0006342657,1.5456576e-06
319,0.0006329366,1.145553e-06
320,0.0006314021,1.491433e-06
321,0.00062966754,1.6699461e-06
322,0.0006285623,1.4292104e-06
323,0.0006274009,1.5150182e-06
324,0.00062646443,1.7258805e-06
325,0.00062455144,1.9147947e-06
326,0.0006228957,2.4718233e-06
327,0.00062181917,2.4765968e-06
328,0.0006201513,2.2013458e-06
329,0.00061922596,2.0425784e-06
330,0.00061737397,1.9500737e-06
331,0.0006163921,2.27282e-06
332,0.00061449734,2.0615087e-06
333,0.0006133521,2.074345e-06
334,0.00061183906,2.6248188e-06
335,0.0006099086,2.3835512e-06
336,0.00060878665,1.8424582e-06
337,0.0006065184,1.8875439e-06
338,0.0006057045,1.671053e-06
339,0.00060425006,1.7839722e-06
340,0.0006025438,1.8669244e-06
341,0.00060100865,2.0334212e-06
342,0.000600097,2.2679858e-06
343,0.0005990507,2.317117e-06
344,0.0005976425,1.9370618e-06
345,0.0005962405,1.9098143e-06
346,0.00059482845,2.0184418e-06
347,0.00059328065,1.826859e-06
348,0.0005918185,1.9114343e-06
349,0.0005902584,1.8218385e-06
350,0.00058906915,2.35822e-06
351,0.00058795227,2.4445503e-06
352,0.0005865282,2.6385003e-06
353,0.000585124,2.55796e-06
354,0.00058396667,2.3906775e-06
355,0.0005827568,2.297847e-06
356,0.00058155507,2.2501506e-06
357,0.00058028084,2.349291e-06
358,0.000578347,2.261381e-06
359,0.00057666894,2.4135138e-06
360,0.00057548523,2.2785116e-06
361,0.00057442865,2.0487612e-06
362,0.0005730979,1.609935e-06
363,0.0005718219,1.4573715e-06
364,0.00057092647,1.5653122e-06
365,0.00056947104,1.4150668e-06
366,0.0005680882,1.6929944e-06
367,0.00056680426,1.4490686e-06
368,0.0005651912,1.4568965e-06
369,0.0005638942,1.5686845e-06
370,0.00056244474,1.3338187e-06
371,0.00056164275,1.4571174e-06
372,0.00056047714,1.730616e-06
373,0.000559255,1.8345085e-06
374,0.00055793434,1.7947518e-06
375,0.00055702514,1.526261e-06
376,0.00055537006,1.8914028e-06
377,0.00055392977,1.2857608e-06
378,0.0005529664,1.3233415e-06
379,0.00055163534,2.1024773e-06
380,0.00055047876,1.8401128e-06
381,0.00054973667,1.7156831e-06
382,0.00054842455,1.604239e-06
383,0.00054724957,2.0598238e-06
384,0.0005461988,1.4995329e-06
385,0.00054434466,1.6604196e-06
386,0.0005432926,1.901049e-06
387,0.0005419646,1.8538695e-06
388,0.0005407502,1.7243564e-06
389,0.00053972495,1.593046e-06
390,0.0005386562,2.0586142e-06
391,0.0005371302,1.6822552e-06
392,0.0005362096,1.6617803e-06
393,0.00053503824,1.5762052e-06
394,0.0005334472,1.5893993e-06
395,0.00053218624,1.8283414e-06
396,0.0005311324,1.9125325e-06
397,0.0005294924,2.1291028e-06
398,0.0005286493,1.8903819e-06
399,0.0005276535,2.2477846e-06
400,0.00052655616,2.0479984e-06
401,0.0005249664,1.3738816e-06
402,0.00052403315,2.0123289e-06
403,0.0005225624,2.1952749e-06
404,0.0005217658,1.8515207e-06
405,0.0005208107,1.927666e-06
406,0.00051943643,1.6742475e-06
407,0.000518387,1.475083e-06
408,0.00051696907,1.2499016e-06
409,0.00051607675,1.2859332e-06
410,0.00051504845,1.2894502e-06
411,0.00051382283,1.2857927e-06
412,0.000512918,1.635768e-06
