X,Y_anc_sceg-30,Y_anc_sceg-37,Y_anc_sdc,Y_anc_sdc-37,Y_anc_sdc-diam,Y_anc_sdc-h2o2,Y_anc_sdc-kcl,Y_anc_sdc-kcl-diam,Y_anc_sdc-kcl-h2o2,Y_anc_sdc-sorb,Y_anc_ypd,Y_anc_ypd-37,Y_anc_ypd-diam,Y_anc_ypd-h2o2,Y_anc_ypd-kcl,Y_anc_ypd-kcl-diam,Y_anc_ypd-kcl-h2o2,Y_anc_ypd-sorb,Y_anc_ypeg-30,Y_anc_ypeg-37
-5.4409246,5.8930416,,,,,,,,,,,,,,,,,,,
-4.811452,5.5288987,,,,,,,,,,,,,,,,,,,
-3.7691562,4.385601,,,,,,,,,,,,,,,,,,,
-4.285422,6.14071,,,,,,,,,,,,,,,,,,,
-4.1713967,6.4314594,,,,,,,,,,,,,,,,,,,
-4.495925,5.0980277,,,,,,,,,,,,,,,,,,,
-5.4124875,4.472462,,,,,,,,,,,,,,,,,,,
-5.7656345,5.8718443,,,,,,,,,,,,,,,,,,,
-3.7067106,5.7367115,,,,,,,,,,,,,,,,,,,
-3.1563485,4.466204,,,,,,,,,,,,,,,,,,,
-5.294427,5.469814,,,,,,,,,,,,,,,,,,,
-4.600351,4.728972,,,,,,,,,,,,,,,,,,,
-4.5288315,7.157104,,,,,,,,,,,,,,,,,,,
-4.377649,3.2923086,,,,,,,,,,,,,,,,,,,
-3.8400865,6.7366266,,,,,,,,,,,,,,,,,,,
-4.9614143,4.4904037,,,,,,,,,,,,,,,,,,,
-3.7547843,7.4444265,,,,,,,,,,,,,,,,,,,
-4.6689963,5.788719,,,,,,,,,,,,,,,,,,,
-4.9975786,4.85611,,,,,,,,,,,,,,,,,,,
-4.01901,5.728939,,,,,,,,,,,,,,,,,,,
-4.8070965,7.248202,,,,,,,,,,,,,,,,,,,
-4.93441,5.038115,,,,,,,,,,,,,,,,,,,
-2.7988572,3.5278993,,,,,,,,,,,,,,,,,,,
-4.3215394,7.112468,,,,,,,,,,,,,,,,,,,
-4.3154864,3.367158,,,,,,,,,,,,,,,,,,,
-5.183426,4.987622,,,,,,,,,,,,,,,,,,,
-2.5466194,5.3303432,,,,,,,,,,,,,,,,,,,
-4.509893,6.332496,,,,,,,,,,,,,,,,,,,
-3.747129,3.6236746,,,,,,,,,,,,,,,,,,,
-4.4087186,4.8490133,,,,,,,,,,,,,,,,,,,
-5.556169,5.435646,,,,,,,,,,,,,,,,,,,
-5.005992,6.1987195,,,,,,,,,,,,,,,,,,,
-4.620704,5.799877,,,,,,,,,,,,,,,,,,,
-5.305482,6.6500754,,,,,,,,,,,,,,,,,,,
-4.856082,4.6470776,,,,,,,,,,,,,,,,,,,
-5.5752974,5.6602063,,,,,,,,,,,,,,,,,,,
-4.381633,5.200302,,,,,,,,,,,,,,,,,,,
-5.773991,6.461093,,,,,,,,,,,,,,,,,,,
-4.8879824,6.475567,,,,,,,,,,,,,,,,,,,
-3.319031,5.10412,,,,,,,,,,,,,,,,,,,
-5.7462735,6.1646147,,,,,,,,,,,,,,,,,,,
-4.4000106,4.8926826,,,,,,,,,,,,,,,,,,,
-4.6519947,6.0390043,,,,,,,,,,,,,,,,,,,
-4.5848665,6.7688627,,,,,,,,,,,,,,,,,,,
-3.450972,4.035985,,,,,,,,,,,,,,,,,,,
-3.8584776,4.474502,,,,,,,,,,,,,,,,,,,
-5.69156,6.6814075,,,,,,,,,,,,,,,,,,,
-5.8759995,5.7722454,,,,,,,,,,,,,,,,,,,
-4.825045,6.3290396,,,,,,,,,,,,,,,,,,,
-3.6369476,4.5261097,,,,,,,,,,,,,,,,,,,
-5.5827985,5.949617,,,,,,,,,,,,,,,,,,,
-5.2665076,6.1221285,,,,,,,,,,,,,,,,,,,
-5.1695733,5.850123,,,,,,,,,,,,,,,,,,,
-4.4022217,5.789798,,,,,,,,,,,,,,,,,,,
-5.505489,5.6973624,,,,,,,,,,,,,,,,,,,
-4.279901,5.9388227,,,,,,,,,,,,,,,,,,,
-5.7626266,6.784008,,,,,,,,,,,,,,,,,,,
-3.5015707,3.6715717,,,,,,,,,,,,,,,,,,,
-5.2285314,5.5335712,,,,,,,,,,,,,,,,,,,
-5.3351336,6.6945333,,,,,,,,,,,,,,,,,,,
-2.6902306,5.114675,,,,,,,,,,,,,,,,,,,
-3.8753676,4.2375035,,,,,,,,,,,,,,,,,,,
-4.2403655,5.2452345,,,,,,,,,,,,,,,,,,,
-3.5332162,7.3988776,,,,,,,,,,,,,,,,,,,
-4.331826,4.7564783,,,,,,,,,,,,,,,,,,,
-4.0052247,5.2409344,,,,,,,,,,,,,,,,,,,
-5.302596,5.8636975,,,,,,,,,,,,,,,,,,,
-4.757087,4.8906527,,,,,,,,,,,,,,,,,,,
-2.3100204,5.0931225,,,,,,,,,,,,,,,,,,,
-4.941154,6.779714,,,,,,,,,,,,,,,,,,,
-3.646874,4.4036202,,,,,,,,,,,,,,,,,,,
-4.4216375,5.056775,,,,,,,,,,,,,,,,,,,
-4.758895,5.3060226,,,,,,,,,,,,,,,,,,,
-3.517525,3.6523771,,,,,,,,,,,,,,,,,,,
-3.8460886,5.5358233,,,,,,,,,,,,,,,,,,,
-4.40449,5.4895935,,,,,,,,,,,,,,,,,,,
-4.9132085,7.138525,,,,,,,,,,,,,,,,,,,
-3.0587502,5.783512,,,,,,,,,,,,,,,,,,,
-3.239323,4.243083,,,,,,,,,,,,,,,,,,,
-3.4799619,3.1804662,,,,,,,,,,,,,,,,,,,
-4.5129385,4.0251775,,,,,,,,,,,,,,,,,,,
-3.4038713,3.8968203,,,,,,,,,,,,,,,,,,,
-3.7270558,5.4698634,,,,,,,,,,,,,,,,,,,
-3.5492246,4.958743,,,,,,,,,,,,,,,,,,,
-4.7000875,4.8798847,,,,,,,,,,,,,,,,,,,
-4.8453856,5.95895,,,,,,,,,,,,,,,,,,,
-4.097586,3.387833,,,,,,,,,,,,,,,,,,,
-4.8022394,3.5209715,,,,,,,,,,,,,,,,,,,
-3.5474293,4.8713164,,,,,,,,,,,,,,,,,,,
-2.9230905,3.5025585,,,,,,,,,,,,,,,,,,,
-3.6916182,3.4660563,,,,,,,,,,,,,,,,,,,
-4.6909714,5.3456693,,,,,,,,,,,,,,,,,,,
-3.7715304,6.2613816,,,,,,,,,,,,,,,,,,,
-3.1693048,5.20329,,,,,,,,,,,,,,,,,,,
-4.8508906,4.5959263,,,,,,,,,,,,,,,,,,,
-5.2217207,5.3117685,,,,,,,,,,,,,,,,,,,
-3.5981212,5.4570193,,,,,,,,,,,,,,,,,,,
-2.6025498,7.354227,,,,,,,,,,,,,,,,,,,
-4.5612593,4.564626,,,,,,,,,,,,,,,,,,,
-5.7732863,6.3583784,,,,,,,,,,,,,,,,,,,
-3.8095272,3.3000882,,,,,,,,,,,,,,,,,,,
-4.4189134,5.9440503,,,,,,,,,,,,,,,,,,,
-5.3501277,6.282052,,,,,,,,,,,,,,,,,,,
-4.182578,6.9203424,,,,,,,,,,,,,,,,,,,
-4.1941752,4.851295,,,,,,,,,,,,,,,,,,,
-4.8253694,6.465388,,,,,,,,,,,,,,,,,,,
-3.3704545,3.3763723,,,,,,,,,,,,,,,,,,,
-3.8222978,5.511743,,,,,,,,,,,,,,,,,,,
-4.430865,5.8909903,,,,,,,,,,,,,,,,,,,
-4.507188,5.141818,,,,,,,,,,,,,,,,,,,
-5.697111,4.6759,,,,,,,,,,,,,,,,,,,
-5.2239714,7.079803,,,,,,,,,,,,,,,,,,,
-5.44575,4.180888,,,,,,,,,,,,,,,,,,,
-4.5137787,5.1936054,,,,,,,,,,,,,,,,,,,
-4.480731,5.6386886,,,,,,,,,,,,,,,,,,,
-4.632584,5.1418705,,,,,,,,,,,,,,,,,,,
-4.694673,5.5228825,,,,,,,,,,,,,,,,,,,
-4.2234607,3.9270682,,,,,,,,,,,,,,,,,,,
-5.7383657,5.842887,,,,,,,,,,,,,,,,,,,
-4.1778216,3.309466,,,,,,,,,,,,,,,,,,,
-3.869421,4.4712253,,,,,,,,,,,,,,,,,,,
-4.818528,7.17319,,,,,,,,,,,,,,,,,,,
-4.115577,4.04274,,,,,,,,,,,,,,,,,,,
-2.051182,1.3963616,,,,,,,,,,,,,,,,,,,
-4.1963058,6.401307,,,,,,,,,,,,,,,,,,,
-5.3573513,5.3398647,,,,,,,,,,,,,,,,,,,
-4.3352594,5.410128,,,,,,,,,,,,,,,,,,,
-5.166263,5.603674,,,,,,,,,,,,,,,,,,,
-4.890657,3.9850855,,,,,,,,,,,,,,,,,,,
7.545899,-0.18956733,,,,,,,,,,,,,,,,,,,
-4.2269177,4.4232335,,,,,,,,,,,,,,,,,,,
-4.99131,6.318741,,,,,,,,,,,,,,,,,,,
-3.7371566,5.2671466,,,,,,,,,,,,,,,,,,,
-4.642011,5.6875176,,,,,,,,,,,,,,,,,,,
-3.6120584,6.7723293,,,,,,,,,,,,,,,,,,,
-2.4711533,5.694922,,,,,,,,,,,,,,,,,,,
-4.195103,4.133012,,,,,,,,,,,,,,,,,,,
-3.6080854,5.490032,,,,,,,,,,,,,,,,,,,
-3.2789268,6.539844,,,,,,,,,,,,,,,,,,,
-4.7837224,6.228754,,,,,,,,,,,,,,,,,,,
-4.2252975,3.5066776,,,,,,,,,,,,,,,,,,,
-3.8566394,5.7884316,,,,,,,,,,,,,,,,,,,
-4.0194993,3.4102967,,,,,,,,,,,,,,,,,,,
-3.4003837,5.317103,,,,,,,,,,,,,,,,,,,
-4.8079824,5.6028724,,,,,,,,,,,,,,,,,,,
-4.1191916,4.495446,,,,,,,,,,,,,,,,,,,
-5.0721736,5.958996,,,,,,,,,,,,,,,,,,,
-4.3432546,3.3196197,,,,,,,,,,,,,,,,,,,
-4.272551,6.434274,,,,,,,,,,,,,,,,,,,
-5.0209627,4.7947087,,,,,,,,,,,,,,,,,,,
-4.612799,5.256076,,,,,,,,,,,,,,,,,,,
-4.6130877,4.6179156,,,,,,,,,,,,,,,,,,,
-5.240002,5.634716,,,,,,,,,,,,,,,,,,,
-4.708025,5.4611244,,,,,,,,,,,,,,,,,,,
-5.258518,6.3605485,,,,,,,,,,,,,,,,,,,
-4.8578663,5.138225,,,,,,,,,,,,,,,,,,,
-4.1515784,6.7252164,,,,,,,,,,,,,,,,,,,
-2.978133,4.173193,,,,,,,,,,,,,,,,,,,
-3.5165098,4.8403697,,,,,,,,,,,,,,,,,,,
-3.3328223,4.823174,,,,,,,,,,,,,,,,,,,
-4.6495647,6.0046725,,,,,,,,,,,,,,,,,,,
-5.3017387,6.783299,,,,,,,,,,,,,,,,,,,
-4.4743166,4.528372,,,,,,,,,,,,,,,,,,,
-4.059468,7.3856325,,,,,,,,,,,,,,,,,,,
-4.5417185,5.063432,,,,,,,,,,,,,,,,,,,
-4.5803556,5.225064,,,,,,,,,,,,,,,,,,,
-5.3481007,5.798054,,,,,,,,,,,,,,,,,,,
-3.307171,3.3371317,,,,,,,,,,,,,,,,,,,
-4.424514,5.48783,,,,,,,,,,,,,,,,,,,
-4.716047,5.660901,,,,,,,,,,,,,,,,,,,
-5.015024,6.2444563,,,,,,,,,,,,,,,,,,,
-3.3495848,7.640379,,,,,,,,,,,,,,,,,,,
-5.4988422,6.571473,,,,,,,,,,,,,,,,,,,
-3.983928,5.1600666,,,,,,,,,,,,,,,,,,,
-3.8170571,6.230426,,,,,,,,,,,,,,,,,,,
-3.36229,3.4408033,,,,,,,,,,,,,,,,,,,
-5.477194,6.207736,,,,,,,,,,,,,,,,,,,
-2.8527637,4.4207873,,,,,,,,,,,,,,,,,,,
-5.03193,6.3704424,,,,,,,,,,,,,,,,,,,
-3.122558,4.0624633,,,,,,,,,,,,,,,,,,,
-4.624949,6.6833744,,,,,,,,,,,,,,,,,,,
-5.0954003,6.143319,,,,,,,,,,,,,,,,,,,
-5.0178547,4.0714264,,,,,,,,,,,,,,,,,,,
-3.961438,5.256951,,,,,,,,,,,,,,,,,,,
-4.9620895,5.936609,,,,,,,,,,,,,,,,,,,
-4.843175,6.703559,,,,,,,,,,,,,,,,,,,
-3.191504,4.6399727,,,,,,,,,,,,,,,,,,,
-5.383998,6.051726,,,,,,,,,,,,,,,,,,,
-5.566816,6.104036,,,,,,,,,,,,,,,,,,,
-4.3245473,5.0433927,,,,,,,,,,,,,,,,,,,
-4.4810357,6.104248,,,,,,,,,,,,,,,,,,,
-5.317459,5.7298193,,,,,,,,,,,,,,,,,,,
-3.2842407,3.7528687,,,,,,,,,,,,,,,,,,,
-4.3219476,5.267798,,,,,,,,,,,,,,,,,,,
-3.7260532,4.814295,,,,,,,,,,,,,,,,,,,
-3.8941884,4.707615,,,,,,,,,,,,,,,,,,,
-3.8809562,3.4151838,,,,,,,,,,,,,,,,,,,
-5.0566773,4.6522665,,,,,,,,,,,,,,,,,,,
-3.095846,4.6840487,,,,,,,,,,,,,,,,,,,
-5.8108516,4.2249937,,,,,,,,,,,,,,,,,,,
-4.7362375,6.3139033,,,,,,,,,,,,,,,,,,,
-4.1342907,4.978585,,,,,,,,,,,,,,,,,,,
