X,Y_evo_sceg-30,Y_evo_sdc,Y_evo_sdc-37,Y_evo_sdc-diam,Y_evo_sdc-h2o2,Y_evo_sdc-kcl,Y_evo_sdc-kcl-diam,Y_evo_sdc-kcl-h2o2,Y_evo_sdc-sorb,Y_evo_ypd,Y_evo_ypd-37,Y_evo_ypd-diam,Y_evo_ypd-h2o2,Y_evo_ypd-kcl,Y_evo_ypd-kcl-diam,Y_evo_ypd-kcl-h2o2,Y_evo_ypd-sorb,Y_evo_ypeg-30
-3.3660529,11.283558,,,,,,,,,,,,,,,,,
-2.5829027,10.774176,,,,,,,,,,,,,,,,,
-3.3569221,12.497126,,,,,,,,,,,,,,,,,
-2.608623,9.845458,,,,,,,,,,,,,,,,,
-3.2382636,12.078874,,,,,,,,,,,,,,,,,
-3.7080681,12.538359,,,,,,,,,,,,,,,,,
-2.3638854,9.267203,,,,,,,,,,,,,,,,,
-2.9888813,11.795872,,,,,,,,,,,,,,,,,
-1.6962252,11.381102,,,,,,,,,,,,,,,,,
-3.231528,12.857992,,,,,,,,,,,,,,,,,
-3.3454888,10.315164,,,,,,,,,,,,,,,,,
-3.5236378,9.862759,,,,,,,,,,,,,,,,,
-3.4581683,11.083726,,,,,,,,,,,,,,,,,
-3.561613,12.616551,,,,,,,,,,,,,,,,,
-1.6656623,10.782142,,,,,,,,,,,,,,,,,
-3.2476213,10.948706,,,,,,,,,,,,,,,,,
-2.6354911,9.661088,,,,,,,,,,,,,,,,,
-3.1867743,9.03391,,,,,,,,,,,,,,,,,
-3.1930146,9.096209,,,,,,,,,,,,,,,,,
-2.7567143,12.017541,,,,,,,,,,,,,,,,,
-3.1398225,10.8925085,,,,,,,,,,,,,,,,,
-2.9782267,11.803341,,,,,,,,,,,,,,,,,
-1.5110263,8.576719,,,,,,,,,,,,,,,,,
-2.6067016,12.300691,,,,,,,,,,,,,,,,,
-1.4658782,8.71916,,,,,,,,,,,,,,,,,
-2.8149157,10.920028,,,,,,,,,,,,,,,,,
-2.6999676,12.076253,,,,,,,,,,,,,,,,,
-2.754698,11.828831,,,,,,,,,,,,,,,,,
-3.0672822,8.814437,,,,,,,,,,,,,,,,,
-3.074057,10.659782,,,,,,,,,,,,,,,,,
-2.3147218,11.98602,,,,,,,,,,,,,,,,,
-3.2811613,11.29199,,,,,,,,,,,,,,,,,
-2.094518,9.42864,,,,,,,,,,,,,,,,,
-2.8625698,11.331132,,,,,,,,,,,,,,,,,
-1.8754236,11.312979,,,,,,,,,,,,,,,,,
-3.0114753,10.116809,,,,,,,,,,,,,,,,,
-2.79293,10.038628,,,,,,,,,,,,,,,,,
-2.5667057,10.61335,,,,,,,,,,,,,,,,,
-2.0928178,9.64135,,,,,,,,,,,,,,,,,
-1.8857191,8.712521,,,,,,,,,,,,,,,,,
-3.4833295,10.937043,,,,,,,,,,,,,,,,,
-1.6808648,10.643475,,,,,,,,,,,,,,,,,
-1.6796765,11.018581,,,,,,,,,,,,,,,,,
-1.808148,10.321693,,,,,,,,,,,,,,,,,
-2.2094865,10.137746,,,,,,,,,,,,,,,,,
-3.0327928,12.630927,,,,,,,,,,,,,,,,,
-1.7984182,10.312283,,,,,,,,,,,,,,,,,
-3.5584593,9.401358,,,,,,,,,,,,,,,,,
-1.6152198,10.8307905,,,,,,,,,,,,,,,,,
-3.1207604,9.878995,,,,,,,,,,,,,,,,,
-1.3403571,9.300125,,,,,,,,,,,,,,,,,
-2.3086445,9.874197,,,,,,,,,,,,,,,,,
-2.03502,11.86695,,,,,,,,,,,,,,,,,
-2.8402421,9.054259,,,,,,,,,,,,,,,,,
-2.3248181,10.075732,,,,,,,,,,,,,,,,,
-2.7670038,10.767139,,,,,,,,,,,,,,,,,
-2.5292933,11.494812,,,,,,,,,,,,,,,,,
-2.4135246,10.353119,,,,,,,,,,,,,,,,,
-3.147368,12.317825,,,,,,,,,,,,,,,,,
-3.5724113,13.079488,,,,,,,,,,,,,,,,,
-3.5961874,12.583431,,,,,,,,,,,,,,,,,
-1.5739899,10.39628,,,,,,,,,,,,,,,,,
-2.7445698,10.510092,,,,,,,,,,,,,,,,,
-3.926941,10.253271,,,,,,,,,,,,,,,,,
-3.8415601,9.788939,,,,,,,,,,,,,,,,,
-3.1608384,9.608188,,,,,,,,,,,,,,,,,
